marathon,city,country,date,year,elite_time_winner_M,elite_time_winner_F,average_men_time,average_women_time,participants,finishers,completion_rate,temperature_start_c,humidity_in_%,wind_speed_kmh,weather_notes,elevation_gain_m,course_type,applications,source,notes
Tokyo Marathon,Tokyo,Japan,2025-03-02,2025,02:03:23,02:16:31,04:41:00,05:04:00,37791,36204,96.6,8.0,58,1.1,Cool and dry,45,Flat urban loop,300000,Official Tokyo Marathon website + official results page,Datos introducidos manualmente. Tiempos average estimados con media ponderada. Elevation gain estimado
Chicago Marathon,Chicago,USA,2025-10-12,2025,02:02:23,02:14:57,03:55:44,04:32:48,55000,54383,98.8,10.0,85,4.8,Partially cloudy,35,Flat and looped road course,160000,Bank of America Chicago Marathon official website and Findmymarathon website,Numero aproximado de participantes (no oficial). Elevation gain estimado
Berlin Marathon,Berlin,Germany,21-09-2025,2025,02:02:16,02:21:08,04:37:19,,55000,48020,87.3,19.0,68,14.4,Temperatura mas alta registrada,25,Flat urban course,170000,"BMW Berlin Marathon website, Findmymarathon website",Numero aproximado de participantes (no oficial). Tiempo medio Mujeres no disponible. Elevation gain estimado
London Marathon,London,UK,27-04-2025,2025,02:02:27,02:15:50,04:23:00,05:01:00,64053,56640,88.4,12.0,76,3.2,Despejado y soleado,127,Flat urban course,840318,"TCS London Marathon website, Findmymarathon website",Datos introducidos manualmente. Elevation gain estimado
New York Marathon,New York,USA,02-11-2025,2025,02:08:09,02:19:51,04:18:55,04:48:11,59662,59221,99.3,7.0,69,,No habia viento este dia,246,Point to Point road racing course,200000,"TCS New York Marathon website, Findmymarathon website",Datos introducidos manualmente. Elevation gain estimado
Boston Marathon,Boston,USA,21-04-2025,2025,02:04:45,02:17:22,03:33:31,03:56:02,28845,28409,98.5,9.0,35,8,Partially clouded,248,Point to Point road/pavement,36393,"Boston Athletic Association website, Findmymarathon website",Datos introducidos manualmente. Elevation gain estimado
Sydney Marathon,Sydney,Australia,31-08-2025,2025,02:06:06,02:18:22,,,35000,32976,94.2,8.0,64,13,Clear,317,Point to Point road/pavement,79000,"TCS SYdney Marathon website, Findmymarathon website",Datos introducidos manualmente. Elevation gain estimado
