year,marathon_date,temp_mean,temp_min,temp_max,apparent_temp_mean,humidity_mean,precipitation_sum,wind_speed_mean,wind_speed_max
2021,2021-10-03,17.608333333333334,14.4,21.8,14.883333333333333,61.625,0.1,19.220833333333335,22.8
2022,2022-10-02,12.454166666666666,10.1,16.0,9.3375,79.0,0.2,19.358333333333334,26.2
2023,2023-04-23,12.954166666666667,9.9,16.4,11.395833333333334,80.08333333333333,3.3,10.0875,16.2
2024,2024-04-21,3.420833333333334,-0.8,8.2,-1.05,68.16666666666667,1.6,14.454166666666666,18.4
2025,2025-04-27,11.308333333333332,4.2,17.2,7.6875,43.833333333333336,0.0,10.829166666666667,13.5
